paper_id,title,authors,year,venue,relevance_class,relevance_reason,task,method_category,algorithm,robot,action,low_level_controller,vision_used,object_position_condition,object_orientation_condition,object_pose_source,object_shape_condition,object_shape_source,object_physical_parameters,tactile_used,tactile_sensor,tactile_raw,tactile_preprocessing,tactile_representation,tactile_retained_information,tactile_removed_information,ft_used,ft_source,ft_representation,ft_role,proprioception_used,history_used,previous_action_used,state_estimator,other_observation,missing_object_information,supplementary_information,supplementary_information_role,actor_privileged_gt,critic_privileged_gt,reward_gt,termination_gt,curriculum_gt,ft_contact_localization,ft_required_assumptions,ft_reported_ambiguity,tactile_added_to_ft_reason,evidence_type,evidence_summary,evidence_location,author_limitation,author_future_work,analysis_note_path
B093,SAVR: Scooping Adaptation for Variable Food Properties via Reinforcement Learning,J-Anne Yow; Wei Tech Ang,2025,2025 IEEE/RSJ International Conference on Intelligent Robots and Systems (IROS),Relevant,"Wrist 6-axis F/T history와 segmented spoon/food image를 함께 사용해 current food properties를 직접 제공하지 않고 scooping trajectory를 조절하며 sensor-modality ablation을 제공한다. F/T가 interaction dynamics를, vision mask가 spoon/food spatial cue를 담당하는 실제 역할과 privileged simulator reward/data randomization을 구분할 수 있어 본 Review 질문에 직접 관련된다.",Goal-conditioned food scooping to a target portion across variable food properties,Reinforcement Learning; DMP residual/adaptation; Sim-to-real,PPO modifying the DMP force term,UFactory xArm-6; spoon; M3712B 6-axis F/T; RealSense D435i,"Scalar z-direction corrective force term Cf in [-1,1]",DMP and position controller at 100 Hz; PPO at 20 Hz,Yes; RGB-D initial center and tracked segmented masks,Initial,미명시,GroundingDINO + depth initial bowl/food center for DMP y0; no continuous numeric pose,기타,Tracked spoon/food segmentation masks; no full geometry,미제공; randomized in simulation and inferred through interaction,No,No,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Yes,Sunrise Instruments M3712B spoon-mounted/wrist 6-axis F/T,5-step history of 6-D wrench; axes/frame/filtering Not stated,Policy observation; infer interaction/food properties; adapt DMP z-force,Yes; five EEF pose histories,Yes; k=5 EEF and F/T,Not stated,GroundingDINO/depth initial center; SAM2 mask tracking; no explicit physical-property estimator,Segmented 3×200×200 spoon/food image; target amount; final actual amount; DMP step,Current numeric pose/orientation; explicit food physical properties; local/distributed contact,Initial RGB-D center; tracked masks; 5-step F/T and EEF history; DMP prior,Align motion and adapt vertical scoop path from interaction and visual area cues,No,Not stated,Yes; simulator actual scooped amount,No; fixed 20-step DMP horizon,Yes; simulator pose/volume/particle/target randomization,No; global spoon/wrist wrench only,Calibrated tool transform; known DMP phase/start; synchronized histories; structured scooping motion,No locality/multi-contact recovery; sensor/perception error can affect real performance,No tactile; segmented vision adds spoon/food spatial-area cues to global force history,Sensor combination ablation; Representation ablation; Controlled comparison,Full masks+F/T gives best real strict/relaxed success; segmented masks outperform raw RGB+force in simulation,"Tables II–V, PDF pp.4–6",Weight/heaped-capacity metric inconsistent volumetrically; simulator lacks deformable-food physics (§VI),Depth/density-based volume estimation and deformable-food simulation (§VI p.7),papers/2025-yow-savr-variable-food-scooping.md
B094,ForceVLA: Enhancing VLA Models with a Force-aware MoE for Contact-rich Manipulation,Jiawen Yu; Hairuo Liu; Qiaojun Yu; Jieji Ren; Ce Hao; Haitong Ding; Guangyu Huang; Guofan Huang; Yan Song; Panpan Cai; Wenqiang Zhang; Cewu Lu,2025,39th Conference on Neural Information Processing Systems (NeurIPS 2025),Relevant,"Vision-language-action policy에 single-step 6-axis estimated TCP wrench를 명시적으로 통합하고 force/no-force, naive fusion, MoE fusion ablations과 visual occlusion/failure analysis를 제공한다. F/T가 current numeric object pose 없이 contact dynamics를 보완하는 역할과 global wrench의 source/precision 한계를 직접 분석할 수 있다.",Bottle pumping; plug insertion; USB insertion; whiteboard wiping; cucumber peeling,Imitation Learning; Vision-Language-Action; Mixture-of-Experts force fusion,π0 conditional flow matching with post-VLM FVLMoE,Flexiv Rizon 7-DoF; Dahuan adaptive gripper; base/wrist RealSense cameras,Action chunks of target TCP pose and gripper width,Robot TCP/gripper execution; exact low-level controller/frequency Not stated,Yes; base and wrist RGB continuously,기타,기타,Implicit in RGB; no numeric current object pose,기타,Implicit visual-language representation; no explicit geometry,미제공,No,No,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Yes,Estimated external TCP wrench from Flexiv Rizon platform; exact physical sensor/estimator source Not stated,"Single-timestep world-frame Fx,Fy,Fz,Mx,My,Mz projected to force token",Policy observation; contact/load modulation; retry/recovery; pressure regulation,Yes; TCP position/Euler orientation/gripper width,No explicit wrench/state history; action chunk only,Not stated,Estimated external TCP wrench; no explicit object-state estimator,Base/wrist RGB; language instruction,Numeric current pose/shape/physical parameters; contact locality/patch,Vision-language context; TCP/gripper state; estimated 6-D wrench,Infer scene/task and adapt action to global contact dynamics under occlusion/uncertainty,Not applicable / No simulator GT,Not applicable,Not applicable,Not applicable,Not applicable; real demonstrations only,No; no contact point/patch output,Calibrated estimated wrench/world frame; synchronized streams; platform-integrated sensing; expert contact examples,Estimated precision below direct high-fidelity sensing; global net wrench has no locality/multi-contact separation,No tactile used; vision/language provide context but not local contact distribution,Sensor combination ablation; Input masking; Fusion ablation; Generalization comparison; Failure analysis,MoE force fusion averages 60.5% vs 37.3% no-force; force masking causes large drops in insertion/pumping; fusion design matters,Fig.5/Table 2–3 pp.7–9; Table 6 pp.24–25,"Estimated-wrench precision, high-cost integrated sensing, real-only scale/simulation gap (§6 p.10)","Better/calibrated sensors, low-cost retrofit platforms, high-fidelity simulated scaling (§6 p.10)",papers/2025-yu-forcevla-force-aware-moe.md
B095,Augmenting Robotic Disassembly Skill: Combining Compliance Control Strategy with Reinforcement Learning for Twist-Pulling Disassembly,Yue Zang; Xiazhen Xu; Yongquan Zhang; Amir M. Hajiyavand; Jiaqi Ye; Yongjing Wang,2025,2025 IEEE/RSJ International Conference on Intelligent Robots and Systems (IROS),Relevant,"Hidden cap–shaft geometry와 misalignment 상황에서 flange force/torque와 TCP pose만으로 rotation center를 탐색하고 impedance twist-pull을 수행한다. Object pose/geometry 없이 wrench가 policy observation·reward·compliance에 쓰이는 범위, 이를 성립시키는 known axis/grasp/controller assumptions와 controlled strategy comparisons를 제공한다.",Twist-and-pull cap–shaft robotic disassembly under hidden geometry and rotation-center misalignment,Reinforcement Learning; Cartesian impedance/compliance control; Hybrid,DDPG,Franka Emika with Franka Hand and internal torque sensing,"2-D rotation-center offset (Δx, Δy); controller executes z twist and 5 mm lifts",Cartesian impedance mapped by Jacobian transpose with nullspace/Coriolis; Fz-to-z-rotation compensation,No,미제공,미제공,No object pose; TCP pose only,미제공,Hidden/unknown connection geometry; geometry similarity implicit in training transfer,미제공,No,No,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Yes,Franka internal torque sensor used for flange force/torque detection; exact estimator Not stated,"Flange force/torque + TCP pose; reward Fn and Tz; compliance Fz; simplified Fx,Fy,tauz variant",Policy state; reward; compliance/force regulation; overload safety; rotation-center search,Yes; TCP pose and impedance errors,Not stated,Not stated,No explicit object/contact-state estimator,Known z twist/pull axis; fixed lift step; specified success height,Current object pose; internal connection geometry/physical properties; contact locality,Flange wrench; TCP pose; mechanical twist-pull prior; impedance response,Search a low-load rotation center and comply with hidden resistance,No,Not stated,No; sensor-derived force/torque,No; robot/tool lift height and safety limits,No / Not stated; real-world training,"No; action-based center search, not contact-point estimation",Rigid grasp; known z axis/lift direction; structured cap–shaft interface; calibrated torque-to-wrench; impedance gains/threshold; geometry similarity,"No contact patch/type recovery; performance depends on offset, geometry, fixture and excessive initial torque",No tactile; local contact information is not added,Controlled method comparison; Transfer comparison; Controller ablation; Action-space comparison; No sensor ablation,Hybrid method outperforms RL-only/no-RL; transfer degrades with dissimilar geometry; medium compliance often best,"Tables I–IV, PDF pp.5–6",No RL-method comparison; success-only metric; limited structural validation; geometry/fixture sensitivity (§V–VI),Improve sample efficiency and extend to more complex/diverse disassembly structures (§VI p.6),papers/2025-zang-compliance-rl-twist-pulling-disassembly.md
B096,Twist-pull as an execution skill primitive for robotic disassembly: Safety-aware skill augmentation under contact uncertainty,Yue Zang; Xiazhen Xu; Yongquan Zhang; Fan Zhang; Wupeng Deng; Amir M. Hajiyavand; Yongjing Wang,2026,"Journal of Manufacturing Systems 86, 22–37",Relevant,"Hidden internal contacts and missing explicit contact state are handled with a 6D wrench, vision-derived object progress, history, compliant control and structured RL. It directly shows what information is needed when end-effector pose alone is insufficient and documents wrench distortion under misalignment.","Twist–pull disassembly of cap–shaft, spanner-like, and real product assemblies under grasp misalignment and hidden contact resistance.",Reinforcement Learning; compliant control; safety policy; curriculum learning,DDPG with structured actor/critic branches,Franka Emika; Franka Hand,"Planar end-effector displacements dx, dy; rotational compensation gain k_c; safety policy separately modulates upward velocity",Cartesian impedance controller plus force-triggered twist–pull compensation and rule-based vertical-velocity safety policy,Yes; dual camera segmentation or ArUco supplies object–gripper height difference Δd,Tracking (relative axial progress Δd),"Initial; manually assigned/randomized, not continuously tracked by the policy",Vision-derived object–gripper relative height; end-effector pose/proprioception,Initial / task-specific geometry used for bounds and curriculum; not an actor input,Known experimental part dimensions and predefined curriculum cases,"Not provided to actor; hidden friction, stiffness and interference motivate feedback adaptation",No,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Yes,Joint-torque-sensor-derived six-dimensional end-effector wrench on Franka; no separate wrist F/T specified,"[f_x, f_y, f_z, t_x, t_y, t_z]",Actor/critic observation; resistance feedback; structured motion/compliance branches; overload termination,Yes; gripper/end-effector pose contributes to Δd and impedance control,Yes; safety policy uses Δd and prior velocity history,Yes; previous upward velocity enters safety ratios,Vision supplies Δd; no explicit hidden-contact-state estimator,Scalar Δd object–gripper incremental height difference,"Internal contact geometry, friction and explicit hidden contact state are not observed; full current object pose is not an actor input",6D wrench; vision-derived Δd; proprioception/history; compliant primitive structure,Wrench indicates resistance and misalignment effects; Δd exposes object progress/slip that gripper pose alone misses; history safely modulates pull speed,No simulator GT identified; execution sensor observation is wrench + Δd,No; same structured sensor representation as actor is stated,No simulator GT identified; reward uses visually measured object lift and Δd mismatch,No; vision/force/task limits are used,No privileged state stated; predefined task environments and success-rate progression are used,No; wrench is not inverted to a contact location,"Quasi-static, rigid-body rotation-centre analysis; fixed disassembly axis; calibrated wrench/kinematics; low-speed compliant execution","Misalignment couples axial force into lateral forces and torques; gripper compliance, slip and hysteresis distort wrench; locality is not recovered",Not applicable; tactile is proposed only as future multimodal extension,Architecture/safety ablation; controlled baseline comparison; generalization and failure analysis,"Structured vs unstructured, safety-policy removal, RL/controller baselines and cross-structure transfer are compared; sensor removal is not tested","Fig.10 and Table 2, PDF pp.10–11; Table 3, pp.11–12; Discussion, pp.14–15","TP abstraction excludes interactions without dominant axial separation/rotational modulation; quasi-static rigid assumptions omit dynamics; biased axes, extreme misalignment/interference, slip and hysteresis remain limits",Model dynamic/hysteretic effects; adapt stiffness and physically ground k_c; extend to multiple execution skills and multi-skill coordination; add tactile or multimodal sensing,papers/2026-zang-twist-pull-safety-aware-disassembly.md
B098,Learning Insertion Primitives with Discrete-Continuous Hybrid Action Space for Robotic Assembly Tasks,Xiang Zhang; Shiyu Jin; Changhao Wang; Xinghao Zhu; Masayoshi Tomizuka,2021,arXiv:2110.12618,Relevant,The paper exposes how current hole pose uncertainty is handled without vision: nominal relative pose and wrist wrench feed an RL policy whose force-thresholded primitives react to contact. It directly separates force-based contact detection from true contact localization and also exposes training-time pose GT in reward/termination.,Peg-in-hole and connector insertion under uncertain hole pose using learned motion primitives,Reinforcement Learning; parameterized action primitives,Twin-Smoothed Multi-pass Deep Q-Network (TS-MP-DQN),FANUC LR Mate 200iD,Discrete primitive type (translation/rotation/insertion) plus continuous velocity and force-limit parameters,Cartesian velocity commands with impedance control on the real robot; primitive terminates on projected-force or travel threshold,No,Tracking for manipulated peg relative to nominal hole; true hole pose is not observed,Tracking for peg relative to nominal reference; true hole yaw is perturbed/hidden,Robot/peg pose relative to nominal hole pose,미제공 to policy; known task geometry in simulation/evaluation,"Task fixtures and simulator meshes, not observation",Not stated as policy input,No,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Yes,External wrench in simulation; wrist F/T sensor on real robot,External wrench F_ext in state; projected contact-force threshold f_lim in each primitive,Policy observation and contact-conditioned primitive termination,Yes; relative peg pose and velocity,No,No,No explicit estimator; nominal hole pose plus contact feedback,"Relative peg pose x, peg velocity x_dot",Actual hole pose differs from nominal pose and is not observed directly,External wrench; reactive force-limit primitives; relative peg state,"Contact force stops a motion when contact occurs and, together with pose/velocity, lets the primitive sequence search for the hidden hole offset",No in real execution; nominal hole-relative peg state and F/T are used,No; twin Q networks use the same state/action,Yes in simulation; exact pose error to x_goal defines reward,Yes in simulation; goal/terminal flag uses simulated task state in addition to primitive sensor thresholds,Not applicable,No; force detects contact along the commanded direction but does not recover location,Known nominal hole frame; peg rigidly held; calibrated F/T and velocity direction; thresholded single commanded motion; impedance-controlled real robot,No explicit wrench-locality discussion; unknown hole pose remains and force alone only stops primitives,Not applicable,Algorithm/action-space ablation; baseline comparison; sim-to-real evaluation,"TS-MP-DQN is compared with MP-DQN, discretized primitives and continuous control across simulation, transfer and six real tasks","Fig.5 and Table I, PDF pp.5–6; Table II, p.6","Vision is absent, so initial pose estimation is assumed nominal and perturbed; the paper does not present an explicit limitation section",Add vision for initial pose estimation; extend to bimanual and deformable-object manipulation,papers/2021-zhang-parameterized-insertion-primitives.md
B099,Learning Variable Impedance Control via Inverse Reinforcement Learning for Force-Related Tasks,Xiang Zhang; Liting Sun; Zhian Kuang; Masayoshi Tomizuka,2021,"IEEE Robotics and Automation Letters 6(2), 2225–2232",Partially Relevant,"The paper does not use tactile and does not infer contact locality, but it separates wrist F/T used for demonstration collection from execution observations, and compares force-action versus impedance-gain representations and short history. This is useful evidence about when force information is training-only and about force-action transfer limitations.",Peg-in-hole and cup-on-plate variable-impedance manipulation learned from expert demonstrations,Inverse Reinforcement Learning; variable impedance control; learning from demonstration,AIRL with TRPO; behavior cloning and force-action baselines,FANUC LR Mate 200iD/7L,"Diagonal Cartesian stiffness/damping gains or Cartesian feedback force, depending on experimental variant",Cartesian impedance controller; simplified law does not measure external force during policy execution,No,Tracking for end-effector/attached object relative to fixed goal waypoint,Tracking where included in tracking error; exact components are task dependent,Robot kinematics and fixed desired trajectory/waypoint,미제공,Task geometry is not a policy input,Robot dynamics model enters controller; object parameters are not policy observations,No,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,"Yes, but only for real expert demonstration collection",Wrist F/T sensor during human kinesthetic demonstration,6D human-applied Cartesian force/torque; sliding-window estimate of stiffness/damping,Training demonstration and gain estimation; not an execution observation in the learned gain policy,Yes; tracking error e and tracking velocity e_dot,Yes in evaluated augmented-observation variants (last five e/e_dot pairs),No,Sliding-window least-squares gain estimation for expert data,Fixed desired waypoint/trajectory,Object geometry and environment contact state are not observed; goal waypoints are assumed fixed and given,Tracking error/velocity; impedance law; optional short history; expert F/T only at training-data collection,"Kinematic error drives task execution and impedance gains produce feedback force; history approximates acceleration, though experiments show no consistent benefit",No; actor uses tracking error/velocity available from robot kinematics,Not stated; no asymmetric critic is reported,"No; AIRL reward is learned from (observation, action), not hand-coded simulator GT",Not stated,Not applicable,No,Fixed known waypoints/desired trajectory; known robot dynamics; diagonal positive gains; attached object follows end effector; simplified impedance law,Execution controller omits external-force measurement and Cartesian dynamics remain coupled; direct force actions have poor transfer,Not applicable,Controlled action-space and learning-method comparison; real sim-to-real failure analysis,"Gain-AIRL, force-AIRL, gain/force BC and constant-gain are compared; history variants are also controlled","Tables I–III, PDF pp.4–6; Fig.7 and §V, pp.7–8",Simplified impedance law does not measure external force and yields coupled Cartesian dynamics; fixed/given waypoints limit time-varying goals,Add external force to decouple dynamics; output expert waypoints and add workspace image input,papers/2021-zhang-variable-impedance-airl.md
B100,A residual reinforcement learning method for robotic assembly using visual and force information,Zhuangzhuang Zhang; Yizhao Wang; Zhinan Zhang; Lihui Wang; Huang Huang; Qixin Cao,2024,"Journal of Manufacturing Systems 72, 245–262",Relevant,"The paper explicitly assigns global relative-pose search to vision and local contact handling to wrist F/T, while keeping force out of the learned actor and putting it in a controller. It includes modality/controller ablations and exposes simulation GT used in the staged reward.","Vision-guided peg-in-hole assembly with force-controlled reaching, search and insertion stages",Residual Reinforcement Learning; hybrid force/position control,PPO actor–critic,UR10 with Robotiq 2F-140 gripper,3D Cartesian displacement Δx and z-axis rotation increment Δα_z from visual policy; force controller adds/replaces residual commands,Modified parallel explicit-force/admittance/position controller; IK to position commands,Yes; eye-in-hand RGB image encoded to 512 features,Tracking (implicit relative peg–hole feature from each RGB image),Tracking (implicit relative z-axis orientation feature),Eye-in-hand RGB through CNN; not explicit numeric pose at actor,"기타; implicit in RGB, no explicit geometry after training",Raw eye-in-hand RGB appearance,No object parameters in actor; controller gains manually set,No,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Yes,ATI Mini45 six-axis wrist F/T sensor,"Filtered/gravity-compensated [F_x,F_y,F_z,M_x,M_y,M_z], force error and threshold events",Stage transition/contact detection; constant-force insertion; admittance correction; safety reset/termination; not direct actor input,Yes in controller/IK; not listed as visual actor input,No explicit actor history,No,CNN produces 512 implicit object-centric relative-pose features,Task stage determined by F_z events,Explicit geometric parameters and numeric part poses are not supplied after training,RGB relative-pose features + wrist F/T + analytical force-control prior,Vision drives global spatial search; F/T detects contact and handles local interaction/force regulation during search and insertion,No; actor sees RGB only,No; actor and critic share visual feature extractor,Yes in simulation; exact relative position/orientation/height variables shape reward,"No privileged state stated; F/T, action/time safety limits and completion contact are used",Not applicable,No,Known flat task frame/surface normal; calibrated F/T and gravity compensation; manually tuned force/admittance gains; rigid objects,F/T provides contact/stage and regulation but not part pose or contact locality; control parameters are material dependent,Not applicable,Sensor/modality and controller ablation; noise robustness; real transfer,"Full vision+modified force control is compared with no vision, force-threshold and admittance-only variants across clearances, poses and shapes","Fig.10 and Table 2, PDF pp.11–14; real results Table 3, pp.15–16",RGB is sensitive to brightness/color and limited field of view; manual force parameters may fail across material/hardness; sim-to-real gap remains; non-flat tasks enlarge action space,"Use depth/preprocessed images; learn force-control parameters with multimodal RL; add visual, force and proprioceptive data as RL observations for variable stiffness tasks",papers/2024-zhang-residual-rl-visual-force-assembly.md
B101,SRL-VIC: A Variable Stiffness-based Safe Reinforcement Learning for Contact-rich Robotic Tasks,Heng Zhang; Gokhan Solak; Gustavo J. G. Lahr; Arash Ajoudani,2024,IEEE Robotics and Automation Letters (accepted preprint),Relevant,"This blind contact task removes vision and combines net F/T, proprioceptive position, learned safety risk and impedance modulation. It directly shows that F/T alone does not supply environment geometry or contact locality, and uses controlled component ablations to test how force feedback and controller priors compensate.","Blind, contact-rich maze exploration with collision safety and obstacle pushing",Safe Reinforcement Learning; variable impedance control; recovery policy,SAC task policy; DDPG recovery policy; learned safety critic,7-DoF Franka Emika Panda,"Relative planar displacement [ΔP_x,ΔP_y] and stiffness [K_x,K_y]",Task-space variable impedance controller,No,Not applicable; no manipulated target object,Not applicable,Not applicable; current end-effector position is proprioceptive state,미제공; maze geometry is not observed,"Fixed training layout is implicit in experience, not an observation",미제공,No,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Yes,Six-dimensional F/T measurement; sensor hardware/brand is not stated,"[F_x,F_y,F_z,T_x,T_y,T_z]; force magnitude threshold; simulated observation noise",Safety critic/recovery state; task-policy state; collision constraint; VIC interaction feedback,"Yes; task policy also receives end-effector [P_x,P_y,P_z]",No recurrent/history input stated,No,"Safety critic predicts action risk Q_risk(s,a)",Known goal used in reward; current end-effector position in task policy,No vision or maze map/shape observation; contact location and obstacle geometry are unknown,6D F/T + end-effector position + learned risk + recovery policy,"F/T signals contact severity, position provides progress/memory in a fixed layout, and risk/recovery predicts unsafe actions before execution",No; real-executable F/T and end-effector position,No asymmetric GT; safety critic uses F/T state and proposed action,No object GT; reward uses robot position to a known goal and force-threshold events,"No; force constraint, entrance/goal and horizon are monitorable",Yes for offline data generation only; six known simulator points and scripted collision sampling create safety labels,No,"Known goal, calibrated F/T, reliable force threshold, fixed task-space controller; fixed training maze lets position encode progress","F/T measures net interaction but no contact point; simulation/real F/T dynamics and sensing differ, and force alone does not generalize task layout",Not applicable,Sensor/controller/safety-component ablation; risk analysis; real failure analysis,VIC+recovery is compared with constant-stiffness recovery and VIC without recovery; combinations isolate the contribution of stiffness adaptation and predictive safety,"Fig.4–6, PDF pp.5–6; real deployment and failure, pp.7–8",Task policy trained on one maze cannot generalize to a substantially different maze; simulator dynamics/F/T precision caused initial real failures,Evaluate more generalized task scenarios and incorporate model-based RL to improve safety and robustness,papers/2024-zhang-srl-vic-contact-maze.md
B102,The Role of Tactile Sensing for Learning Reach and Grasp,Boya Zhang; Iris Andrussow; Andreas Zell; Georg Martius,2025,IEEE International Conference on Robotics and Automation (ICRA),Relevant,"This is a direct representation-ablation study of binary, magnitude, vector and regional tactile signals with vision, proprioception and history. It provides unusually strong evidence about what reduced tactile removes and what remains useful when visual object pose is imperfect.",Two-finger reach-and-grasp with systematic comparison of tactile sensing representations,Reinforcement Learning; sim-to-real tactile representation study,SAC and MPO,Franka Panda with two-finger antipodal gripper; real Minsight fingertips,Seven arm joint positions plus gripper opening width,Joint impedance controller interpolates 20-Hz policy output to 1 kHz on hardware,"Yes; exact/noised object state in core simulation, wrist RGB encoder in generalization, FoundationPose on real robot",Tracking,Tracking,Simulation GT with injected noise; wrist RGB encoder; FoundationPose on hardware,"기타; object type one-hot or implicit wrist RGB, no mesh passed to policy",One-hot identity / visual representation; meshes used for simulation and grasp generation,Not actor input; friction/controller parameters randomized for transfer,Yes,Two Minsight vision-based fingertip sensors; simulated 50 force-vector primitives per fingertip,Per-contact primitive 3D force vectors; real Minsight force estimates,Aggregate whole-finger force; threshold to binary; magnitude; K-region selection; optional concatenation of global vector,"B, M, V, BK, MK, VK for K=5/9/12; two fingers; five-frame observation history",Contact presence; force magnitude; global direction; regional contact distribution depending on representation,Binary removes magnitude/direction; magnitude removes direction; global V removes spatial locality; K-region versions quantize locality and omit full surface detail,"No; global force vector is fingertip tactile aggregation, not wrist F/T",Not applicable,Not applicable,Not applicable,Yes; TCP pose and gripper opening,Yes; typically five successive observations,No,Visual encoder/FoundationPose; no tactile pose estimator,"Object type, remaining-step scalar","Noisy/occluded visual pose and, for reduced tactile, spatial/magnitude/directional contact detail",Tactile representation + proprioception + short history + vision,Tactile supplies contact/force cues when vision is biased; proprioception/actions make them actionable; short history smooths tracking noise,Yes in core simulation variants: exact object pose/type before controlled noise; no on real hardware where FoundationPose is used,No asymmetric critic reported; same state representation is used,Yes; simulator contact distances/forces and post-rollout stability test with random forces,No special privileged early termination stated; fixed episode horizon,Yes; demo injection uses precomputed stable poses/robust grasps and simulation object models,Not applicable,Not applicable,Not applicable,No wrist F/T is used; study shows global fingertip force direction can outperform dense regional maps under noisy vision,"Representation, sensor-area, history and modality ablations; generalization and sim-to-real comparison","No-tactile, binary, magnitude, vector, regional maps, memory lengths and sensing areas are directly compared under perfect/noisy vision and hardware transfer","Table II–III and Fig.4–10, PDF pp.4–6; Table V, p.6",Simplified rigid sensor/contact model; controlled setting; algorithm/hyperparameter sensitivity; sim-to-real confounds; no online visual-tactile feature learning due compute,Blind grasping with active search and accumulated information; multi-finger in-hand manipulation; online visual-tactile feature learning,papers/2025-zhang-role-tactile-reach-grasp.md
B105,ARMCL: ARM Contact point Localization via Monte Carlo Localization,Adrian Zwiener; Richard Hanten; Cornelia Schulz; Andreas Zell,2019,IEEE/RSJ International Conference on Intelligent Robots and Systems (IROS),Relevant,"This paper directly answers how far joint-torque-derived wrench information can recover contact locality and which extra constraints make that possible. It explicitly analyzes non-uniqueness, multiple contacts, tangential forces, known geometry and model-error limitations.",External contact point and force localization on a robot arm without tactile skin,State estimation; particle filter; model-based contact localization,Monte Carlo localization (ARMCL),Kinova Jaco2,Not applicable; estimator output only,Not applicable,No,Not applicable; external object is not modeled,Not applicable,Not applicable,Not applicable,"Known robot surface mesh, not object geometry",Not applicable,No,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Yes,One-dimensional joint torque sensors; momentum-residual observer estimates external joint torques,Joint positions/velocities/torques → residual r≈τ_ext → normalized residual and particle likelihood; SVD force amplitude,"Contact detection, surface contact-location distribution and normal-force amplitude estimation","Yes; q, q_dot and joint torques",Yes implicitly in momentum residual integration and sequential particle filter,No,Particle filter over known triangular robot surface mesh with density estimation,"Known robot kinematics, dynamics, surface normals and mesh topology","No external-object pose/shape, contact patch or tangential force; joint torques underdetermine location",Known robot mesh/kinematics/dynamics; normal-force and single-contact assumptions; temporal particle belief,Geometric and dynamic constraints turn ambiguous joint-torque residuals into a probability distribution over robot surface locations,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,"Yes, under restrictive assumptions",Known robot surface mesh/kinematics/dynamics; contact lies on surface; force is normal; primarily single contact; sufficient torque channels; threshold removes noise,1D joint torques have no unique solution; multiple contacts can equal one apparent contact; tangent forces yield infinitely many solutions; geometry and acceleration/model error bias estimates,Not applicable; tactile skin is explicitly absent,Controlled estimator comparison; real/simulation accuracy and convergence tests; failure analysis,"Particle variants are compared with direct optimization, RF, MLP and friction-cone filter; real contact points/forces validate convergence and errors","Table I, PDF p.5; Table II, p.6; Discussion, p.7",Contact problem is ambiguous; model/sensor accuracy and high acceleration affect estimates; normal-force and single-contact focus excludes tangential/multiple-contact cases,"Investigate multiple contacts, fuse 3D environmental sensing as prior, and analyze tangential contact forces",papers/2019-zwiener-armcl-contact-localization.md
